win_rate,kda_ratio,matches_played,name
[u'46.80%'],[u'2.34'],"[u'25,982,939']",[u'Tiny']
[u'46.69%'],[u'2.28'],"[u'15,497,914']",[u'Enigma']
[u'46.68%'],[u'2.44'],"[u'13,212,178']",[u'Medusa']
[u'46.65%'],[u'2.30'],"[u'23,777,983']",[u'Gyrocopter']
[u'46.63%'],[u'2.10'],"[u'21,957,281']",[u'Outworld Devourer']
[u'46.14%'],[u'2.33'],"[u'17,292,659']",[u'Bane']
[u'46.10%'],[u'2.05'],"[u'39,120,369']",[u'Rubick']
[u'46.10%'],[u'1.85'],"[u'15,478,552']",[u'Pugna']
[u'46.05%'],[u'2.29'],"[u'33,250,039']",[u'Faceless Void']
[u'46.03%'],[u'2.05'],"[u'30,936,921']",[u'Lina']
[u'46.03%'],[u'2.32'],"[u'20,069,538']",[u'Magnus']
[u'46.00%'],[u'2.11'],"[u'32,782,374']",[u'Alchemist']
[u'45.77%'],[u'2.24'],"[u'17,831,085']",[u'Tusk']
[u'45.72%'],[u'2.41'],"[u'29,569,400']",[u'Templar Assassin']
[u'45.58%'],[u'2.21'],"[u'15,156,929']",[u'Batrider']
[u'45.31%'],[u'2.49'],"[u'45,820,013']",[u'Windranger']
[u'45.26%'],[u'1.94'],"[u'8,131,513']",[u'Chen']
[u'45.17%'],[u'2.74'],"[u'26,853,629']",[u'Storm Spirit']
[u'44.98%'],[u'2.79'],"[u'52,603,455']",[u'Invoker']
[u'44.94%'],[u'2.50'],"[u'21,005,233']",[u'Puck']
[u'44.84%'],[u'2.71'],"[u'30,846,345']",[u'Queen of Pain']
[u'44.64%'],[u'2.31'],"[u'15,263,978']",[u'Enchantress']
[u'44.52%'],[u'2.16'],"[u'17,307,736']",[u'Lone Druid']
[u'43.96%'],[u'2.35'],"[u'43,242,762']",[u'Phantom Assassin']
[u'43.80%'],[u'2.24'],"[u'14,445,801']",[u'Skywrath Mage']
[u'43.42%'],[u'2.62'],"[u'16,303,926']",[u'Tinker']
[u'43.42%'],[u'2.42'],"[u'9,718,100']",[u'Ember Spirit']
[u'43.40%'],[u'1.58'],"[u'10,558,665']",[u'Meepo']
[u'43.14%'],[u'1.94'],"[u'13,917,638']",[u'Shadow Demon']
[u'43.10%'],[u'2.26'],"[u'28,084,315']",[u'Clinkz']
[u'42.51%'],[u'1.96'],"[u'10,489,314']",[u'Io']
[u'41.91%'],[u'1.87'],"[u'14,452,811']",[u'Broodmother']
[u'41.74%'],[u'2.50'],"[u'35,625,130']",[u'Anti-Mage']
[u'41.74%'],[u'2.48'],"[u'17,413,664']",[u'Morphling']
[u'41.20%'],[u'1.80'],"[u'5,299,528']",[u'Earth Spirit']
win_rate,kda_ratio,matches_played,name
56.92%,2.98,"16,464,614",Abaddon
56.82%,2.45,"23,481,546",Warlock
55.91%,2.62,"26,093,736",Lich
55.60%,3.16,"31,583,971",Zeus
55.26%,2.87,"21,299,741",Necrophos
54.73%,2.57,"20,565,312",Centaur Warrunner
54.45%,2.44,"26,033,502",Death Prophet
54.20%,2.49,"46,239,198",Spirit Breaker
54.20%,2.31,"21,582,205",Jakiro
53.91%,2.51,"31,013,262",Luna
53.78%,2.15,"59,415,773",Drow Ranger
53.66%,2.42,"32,987,472",Ursa
53.54%,2.24,"31,078,405",Vengeful Spirit
53.54%,1.93,"14,448,757",Treant Protector
53.44%,2.46,"27,683,708",Venomancer
53.38%,2.07,"36,670,574",Crystal Maiden
53.31%,1.85,"20,219,422",Omniknight
53.14%,2.84,"27,927,760",Wraith King
52.90%,2.85,"26,632,734",Tidehunter
52.75%,3.57,"21,309,443",Spectre
52.71%,2.32,"17,916,410",Lycan
52.70%,2.84,"36,126,035",Viper
52.19%,2.89,"47,495,529",Mirana
52.19%,2.00,"18,480,744",Dazzle
52.00%,3.35,"33,362,444",Phantom Lancer
51.94%,2.16,"24,846,593",Silencer
51.91%,2.64,"9,667,050",Elder Titan
51.89%,3.04,"54,569,550",Riki
51.62%,2.38,"25,775,303",Slardar
51.38%,2.13,"5,824,953",Terrorblade
51.37%,2.80,"32,769,362",Nyx Assassin
51.15%,2.33,"16,575,992",Disruptor
51.12%,2.22,"21,513,101",Keeper of the Light
51.07%,2.67,"39,634,652",Slark
50.98%,2.40,"23,764,669",Ogre Magi
50.77%,2.54,"46,080,887",Bloodseeker
50.57%,2.49,"30,370,845",Sand King
50.45%,2.21,"23,059,602",Witch Doctor
50.35%,2.47,"24,195,139",Clockwerk
50.33%,1.88,"23,215,768",Shadow Shaman
50.16%,2.16,"32,761,851",Sven
49.99%,2.80,"12,172,735",Brewmaster
49.91%,2.80,"21,514,331",Night Stalker
49.86%,3.09,"35,436,801",Weaver
49.83%,2.53,"22,688,348",Razor
49.70%,2.29,"31,133,843",Earthshaker
49.59%,2.66,"21,490,433",Bristleback
49.50%,2.33,"32,069,003",Shadow Fiend
49.45%,2.55,"41,699,291",Lifestealer
49.32%,2.28,"34,775,619",Kunkka
49.11%,2.66,"20,836,299",Dark Seer
49.10%,2.11,"18,972,050",Troll Warlord
49.00%,2.64,"4,313,962",Phoenix
48.65%,2.01,"35,845,802",Lion
48.63%,2.42,"45,041,799",Juggernaut
48.42%,2.07,"43,301,656",Axe
48.33%,2.61,"14,326,294",Undying
48.29%,2.41,"27,419,149",Dragon Knight
48.19%,2.55,"9,074,259",Visage
48.12%,2.30,"89,578,291",Pudge
48.06%,2.47,"59,029,755",Sniper
48.02%,2.38,"12,716,411",Beastmaster
47.99%,1.87,"35,633,299",Huskar
47.96%,2.39,"17,642,408",Ancient Apparition
47.75%,2.39,"49,853,566",Nature's Prophet
47.65%,2.29,"27,671,860",Doom
47.63%,2.16,"14,528,405",Leshrac
